ID,UPA,EventDate,Employer,Address1,Address2,city,state,Zip,Latitude,Longitude,Primary_NAICS,Hospitalized,Amputation,Loss_Of_Eye,Inspection,FinalNarrative,Nature,NatureTitle,Part_of_Body,Part_of_Body_Title,Event,EventTitle,Source,sourceTitle,Secondary_Source,Secondary_Source_Title,parish
2023065293,2042673,2023-06-15,"Waskey Bridges, Inc.",2651 N. Flannery Rd,,BATON ROUGE,LOUISIANA,70814,30.47,-91.03,327390,1,0,0,,An employee was conducting concrete work while standing outside on a concrete platform. A form constructed of aluminum and wood fell and fractured the employee's right leg.,111,Fractures,510,"Leg(s), unspecified",6230,"Struck by falling object or equipment, unspecified",659.0,"Structural elements, n.e.c.",,,East Baton Rouge
2023065355,2043245,2023-06-17,"Danos, LLC",South Marsh Island 99A,,HOUMA,LOUISIANA,70360,29.63,-90.76,213112,1,1,0,,"An employee was rebuilding a compressor engine on an offshore facility. As they were troubleshooting a connecting rod inside the compressor engine, the rod slipped down. The employee's finger was then caught between the crankshaft and connecting rod, resulting in a left middle fingertip amputation and fracture.",1311,Amputations,4422,Fingertip(s),640,"Caught in or compressed by equipment or objects, unspecified",30.0,"Machinery, unspecified",,,Terrebonne
2023065424,2043932,2023-06-19,"Entergy, Louisiana",1001 Virgil Street,,GRETNA,LOUISIANA,70053,29.92,-90.04,221121,1,0,0,1678293.0,An employee was completing various work tasks outside throughout their shift and experienced heat-related symptoms.,1720,"Effects of heat and light, unspecified",6,BODY SYSTEMS,531,Exposure to environmental heat,9262.0,Heat-environmental,,,Jefferson
2023065435,2044277,2023-06-20,Thompson Industrial Services LLC,1202 HWY 509,,MANSFIELD,LOUISIANA,71052,32.13,-93.6,423850,1,0,0,,An employee was engaged in industrial vacuuming work within a confined space. They experienced heat related symptoms such as cramps and were hospitalized.,1720,"Effects of heat and light, unspecified",6,BODY SYSTEMS,531,Exposure to environmental heat,9262.0,Heat-environmental,610.0,"Confined spaces, unspecified",De Soto
2023065457,2044220,2023-06-20,Sam's Club,10444 North Mall Drive,,BATON ROUGE,LOUISIANA,70809,30.37,-91.06,452311,1,0,0,,Two employees were involved in an altercation. One employee sustained a gunshot wound and was hospitalized.,134,Gunshot wounds,9999,Nonclassifiable,1111,Shooting by other person-intentional,5720.0,"Co-worker or work associate of injured or ill worker, unspecified",7810.0,"Firearm, unspecified",East Baton Rouge
2023065500,2044453,2023-06-21,Triad Electric & Controls Inc,11842 River Road,,SAINT ROSE,LOUISIANA,70087,29.93,-90.32,238210,1,0,0,,"An employee was positioning a fork on an extended boom forklift while standing on the ground. The fork assembly fell from the forklift, struck the ground, and then struck the employee's chest. The employee was hospitalized with hip pain and contusions to his abdomen.",143,"Bruises, contusions",330,"Abdomen, except internal location of diseases or disorders",6219,"Struck by powered vehicle-nontransport, n.e.c.",489.0,"Vehicle and mobile equipment parts, n.e.c.",8621.0,"Forklift, order picker, platform truck-powered",St. Charles
2023065534,2045118,2023-06-22,Lexicon - Steel Fabricators of Monroe,2101 Booth Street,,MONROE,LOUISIANA,71201,32.5,-92.08,332322,1,0,0,,"An employee was performing routine maintenance on a shot blaster machine when they slipped on machine residue and fell, striking their face/forehead on the motor cover. The employee sustained a right orbital fracture and a forehead laceration.",111,Fractures,132,Eye(s),422,Fall on same level due to slipping ,6629.0,"Floor, n.e.c.",940.0,"Scrap, waste, debris, unspecified",Ouachita
2023065722,2047634,2023-06-27,"Ernest P. Breaux Electrical, Inc.",Sage Glen Rd and Pinhook Rd,,LAFAYETTE,LOUISIANA,70500,30.18,-92.0,238210,1,0,0,1681018.0,An employee was pulling a line through a light pole when it contacted an uninsulated line. The employee was shocked and sustained burns that required hospitalization.,1530,"Electrical burns, unspecified",9999,Nonclassifiable,5120,"Indirect exposure to electricity, unspecified",4410.0,"Electric parts, unspecified",6353.0,"Lamp posts, street lights",Lafayette
2023075858,2048722,2023-07-01,International Snubbing Services,Oilfiled,190 Industries Lane,ARNAUDVILLE,LOUISIANA,70512,30.47,-91.96,213112,1,0,0,,An employee was using a punch to get out a rolling pin when a piece of metal struck and entered the employee's right eye through a gap in his safety glasses.,1972,"Soreness, pain, hurt-nonspecified injury",132,Eye(s),6241,"Struck by dislodged flying object, particle",9413.0,"Metal chips, particles",3244.0,Oil drilling rigs and machinery,St. Landry
2023075917,2049879,2023-07-04,O'Reilly Auto Parts Store #2415,14527 Highway 44,,GONZALES,LOUISIANA,70737,30.28,-90.92,441310,1,0,0,,"An employee was on a ladder removing a shelf. While coming down the ladder, she missed the last step and fell to the concrete floor, resulting in a left hip fracture and wrist contusion.",111,Fractures,341,Hip(s),4331,Other fall to lower level less than 6 feet,7420.0,"Movable ladders, unspecified",6629.0,"Floor, n.e.c.",Ascension
