date,parish,accident_count
2015-01-02,Bienville,1
2015-01-02,Cameron,1
2015-01-05,Iberville,1
2015-01-05,St. Landry,1
2015-01-05,Winn,1
2015-01-06,Bossier,1
2015-01-06,Washington,1
2015-01-07,Calcasieu,1
2015-01-08,St. Charles,1
2015-01-12,Iberville,1
2015-01-16,Iberia,1
2015-01-20,Caddo,1
2015-01-20,East Baton Rouge,1
2015-01-21,Ascension,1
2015-01-28,East Baton Rouge,1
2015-01-28,Ouachita,1
2015-01-29,St. Helena,1
2015-02-01,Iberville,1
2015-02-02,Lafayette,1
2015-02-02,Orleans,1
2015-02-03,Rapides,1
2015-02-04,East Baton Rouge,1
2015-02-05,Jefferson,1
2015-02-06,Terrebonne,1
2015-02-07,Orleans,1
2015-02-10,Plaquemines,1
2015-02-10,St. Martin,1
2015-02-12,Rapides,1
2015-02-13,Plaquemines,1
2015-02-16,St. Charles,1
2015-02-18,Livingston,1
2015-02-18,St. Mary,1
2015-02-19,Ouachita,1
2015-02-21,St. Tammany,1
2015-02-21,Terrebonne,1
2015-02-23,Union,1
2015-02-24,Calcasieu,1
2015-02-27,Jefferson,1
2015-02-27,St. Tammany,1
2015-03-02,Caddo,1
2015-03-02,Tangipahoa,1
2015-03-04,Vernon,1
2015-03-06,Orleans,1
2015-03-06,Ouachita,1
2015-03-10,Ascension,1
2015-03-11,Orleans,1
2015-03-12,Ouachita,1
2015-03-12,Rapides,1
2015-03-13,Terrebonne,1
2015-03-16,St. Martin,1
2015-03-17,East Baton Rouge,1
2015-03-18,Iberia,1
2015-03-19,West Baton Rouge,1
2015-03-20,Assumption,1
2015-03-20,Ouachita,1
2015-03-20,Tangipahoa,1
2015-03-20,Terrebonne,1
2015-03-22,Rapides,1
2015-03-24,Terrebonne,1
2015-04-01,East Baton Rouge,1
2015-04-01,St. Charles,1
2015-04-02,Ascension,1
2015-04-08,Ouachita,1
2015-04-08,St. Martin,1
2015-04-10,Tangipahoa,1
2015-04-13,Winn,1
2015-04-16,East Feliciana,1
2015-04-16,Orleans,1
2015-04-20,Bienville,1
2015-04-21,St. Charles,1
2015-04-22,Bossier,1
2015-04-22,Grant,1
2015-04-23,Ascension,2
2015-04-23,Caddo,1
2015-04-24,Lafayette,1
2015-04-27,St. Landry,1
2015-04-28,Caddo,1
2015-04-30,Jefferson,2
2015-05-01,Iberville,1
2015-05-01,Jefferson,1
2015-05-05,St. James,1
2015-05-05,West Baton Rouge,1
2015-05-07,Ascension,1
2015-05-07,West Baton Rouge,1
2015-05-07,West Feliciana,1
2015-05-08,Orleans,1
2015-05-09,Orleans,1
2015-05-11,Jefferson,1
2015-05-12,Avoyelles,1
2015-05-14,East Baton Rouge,1
2015-05-15,Caddo,1
2015-05-16,Ascension,1
2015-05-16,Rapides,1
2015-05-16,St. Charles,1
2015-05-16,Tangipahoa,1
2015-05-18,Jefferson,2
2015-05-19,Rapides,1
2015-05-21,Jefferson,1
2015-05-22,Jefferson Davis,1
2015-05-22,St. Bernard,1
2015-05-26,Calcasieu,1
2015-05-28,Vernon,1
2015-05-29,Terrebonne,1
2015-05-31,Orleans,1
2015-06-03,Ouachita,1
2015-06-04,St. Mary,1
2015-06-07,Orleans,1
2015-06-08,Bienville,1
2015-06-08,St. James,1
2015-06-09,Ascension,1
2015-06-10,De Soto,1
2015-06-11,East Baton Rouge,1
2015-06-11,Orleans,1
2015-06-13,Concordia,1
2015-06-13,Plaquemines,1
2015-06-13,St. John the Baptist,1
2015-06-14,St. Bernard,1
2015-06-16,Orleans,1
2015-06-20,St. Charles,1
2015-06-21,Jefferson,1
2015-06-22,St. Martin,1
2015-06-23,Orleans,1
2015-06-23,St. John the Baptist,1
2015-06-24,Iberville,1
2015-06-30,Caddo,1
2015-06-30,Jefferson,1
2015-06-30,Orleans,1
2015-07-02,Plaquemines,1
2015-07-04,Orleans,1
2015-07-08,Lafourche,1
2015-07-08,Natchitoches,1
2015-07-09,Calcasieu,1
2015-07-09,Iberia,1
2015-07-09,Lafayette,1
2015-07-09,Orleans,1
2015-07-10,Beauregard,1
2015-07-14,St. Bernard,1
2015-07-15,Orleans,1
2015-07-15,Ouachita,1
2015-07-16,Caddo,1
2015-07-18,Orleans,1
2015-07-20,Lafourche,1
2015-07-20,Winn,1
2015-07-23,West Baton Rouge,1
2015-07-24,Tangipahoa,1
2015-07-25,Calcasieu,1
2015-07-25,East Carroll,1
2015-07-27,Lafayette,1
2015-07-28,Bossier,1
2015-07-28,Caddo,1
2015-07-28,Calcasieu,1
2015-07-28,Iberia,1
2015-07-28,Lafourche,1
2015-07-28,Rapides,1
2015-07-28,Union,1
2015-07-29,Tangipahoa,1
2015-07-30,Caddo,1
2015-07-30,Calcasieu,1
2015-08-03,Caddo,1
2015-08-08,Orleans,1
2015-08-09,Rapides,1
2015-08-10,Ouachita,1
2015-08-10,Rapides,1
2015-08-17,Terrebonne,1
2015-08-18,Caddo,1
2015-08-23,St. Charles,1
2015-08-24,Jefferson,1
2015-08-25,St. John the Baptist,1
2015-08-31,East Baton Rouge,1
