parish,apparent_temp_85th_percentile
Acadia,-7.241519077091819
Allen,-7.2132410646653895
Ascension,-7.4582918342694615
Assumption,-7.038744413098114
Avoyelles,-7.831974468841619
Beauregard,-7.2132410646653895
Bienville,-7.473939883792339
Bossier,-7.473939883792339
Caddo,-7.48358741008135
Calcasieu,-7.036274294369964
Caldwell,-7.593681217096033
Cameron,-7.036274294369964
Catahoula,-7.831974468841619
Claiborne,-7.473939883792339
Concordia,-7.831974468841619
De Soto,-7.48358741008135
East Baton Rouge,-7.4582918342694615
East Carroll,-7.593681217096033
East Feliciana,-7.4582918342694615
Evangeline,-7.241519077091819
Franklin,-7.593681217096033
Grant,-7.831974468841619
Iberia,-7.241519077091819
Iberville,-7.4582918342694615
Jackson,-7.593681217096033
Jefferson,-7.124712562357031
Jefferson Davis,-7.057519155457189
LaSalle,-7.831974468841619
Lafayette,-7.241519077091819
Lafourche,-7.124712562357031
Lincoln,-7.593681217096033
Livingston,-7.4582918342694615
Madison,-7.593681217096033
Morehouse,-7.593681217096033
Natchitoches,-7.2132410646653895
Orleans,-6.312455608453207
Ouachita,-7.593681217096033
Plaquemines,-7.124712562357031
Pointe Coupee,-7.4582918342694615
Rapides,-7.831974468841619
Red River,-7.473939883792339
Richland,-7.593681217096033
Sabine,-7.2132410646653895
St. Bernard,-7.124712562357031
St. Charles,-7.038744413098114
St. Helena,-7.4582918342694615
St. James,-7.038744413098114
St. John the Baptist,-7.038744413098114
St. Landry,-7.241519077091819
St. Martin,-7.241519077091819
St. Mary,-7.241519077091819
St. Tammany,-6.312455608453207
Tangipahoa,-7.038744413098114
Tensas,-7.593681217096033
Terrebonne,-7.038744413098114
Union,-7.593681217096033
Vermilion,-7.241519077091819
Vernon,-7.2132410646653895
Washington,-6.312455608453207
Webster,-7.473939883792339
West Baton Rouge,-7.4582918342694615
West Carroll,-7.593681217096033
West Feliciana,-7.4582918342694615
Winn,-7.831974468841619
