parish,fips,population,median_household_income,rucc_code,urban_rural_status
Acadia,22001,57576,44412,2.0,Urban
Allen,22003,22750,48328,6.0,Rural
Ascension,22005,126500,82594,2.0,Urban
Assumption,22007,21039,44742,2.0,Urban
Avoyelles,22009,39693,35530,6.0,Rural
Beauregard,22011,36549,49256,6.0,Rural
Bienville,22013,12981,27815,8.0,Rural
Bossier,22015,128746,55448,2.0,Urban
Caddo,22017,237848,42003,2.0,Urban
Calcasieu,22019,216785,52866,2.0,Urban
Caldwell,22021,9645,40690,8.0,Rural
Cameron,22023,5617,56902,2.0,Urban
Catahoula,22025,8906,40973,9.0,Rural
Claiborne,22027,14170,26849,9.0,Rural
Concordia,22029,18687,36294,6.0,Rural
De Soto,22031,26812,44436,2.0,Urban
East Baton Rouge,22033,456781,56076,2.0,Urban
East Carroll,22035,7459,24551,8.0,Rural
East Feliciana,22037,19539,54187,2.0,Urban
Evangeline,22039,32350,31427,6.0,Rural
Franklin,22041,19774,35759,6.0,Rural
Grant,22043,22169,51449,3.0,Urban
Iberia,22045,69929,50602,4.0,Rural
Iberville,22047,30241,49539,2.0,Urban
Jackson,22049,15031,41760,6.0,Rural
Jefferson,22051,440781,54825,1.0,Urban
Jefferson Davis,22053,32250,42716,2.0,Urban
LaSalle,22059,14791,51141,8.0,Rural
Lafayette,22055,241753,58761,2.0,Urban
Lafourche,22057,97557,54530,3.0,Urban
Lincoln,22061,48396,36496,4.0,Rural
Livingston,22063,142282,67365,2.0,Urban
Madison,22065,10017,32585,6.0,Rural
Morehouse,22067,25629,33780,3.0,Urban
Natchitoches,22069,37515,30625,6.0,Rural
Orleans,22071,383997,43258,1.0,Urban
Ouachita,22073,160368,44934,3.0,Urban
Plaquemines,22075,23515,65234,1.0,Urban
Pointe Coupee,22077,20758,44201,2.0,Urban
Rapides,22079,130023,48013,3.0,Urban
Red River,22081,7620,33817,8.0,Rural
Richland,22083,20043,40491,3.0,Urban
Sabine,22085,22155,39755,8.0,Rural
St. Bernard,22087,43764,47873,1.0,Urban
St. Charles,22089,52549,68113,1.0,Urban
St. Helena,22091,10920,45063,2.0,Urban
St. James,22093,20192,53209,1.0,Urban
St. John the Baptist,22095,42477,55429,1.0,Urban
St. Landry,22097,82540,40859,4.0,Rural
St. Martin,22099,51767,48884,2.0,Urban
St. Mary,22101,49406,40218,4.0,Rural
St. Tammany,22103,264570,70730,2.0,Urban
Tangipahoa,22105,133157,48745,3.0,Urban
Tensas,22107,4147,29767,9.0,Rural
Terrebonne,22109,109580,52224,3.0,Urban
Union,22111,21107,45094,3.0,Urban
Vermilion,22113,57359,52219,2.0,Urban
Vernon,22115,48750,50267,4.0,Rural
Washington,22117,45463,39185,6.0,Rural
Webster,22119,36967,30324,6.0,Rural
West Baton Rouge,22121,27199,67813,2.0,Urban
West Carroll,22123,9751,42545,8.0,Rural
West Feliciana,22125,15310,59688,2.0,Urban
Winn,22127,13755,37764,8.0,Rural
