GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ICAO,ISO_CODE
USA00722153,27.767,-91.517,0.0,LA,GREEN CANYON 184,,,,,US
USA00722396,28.25,-91.833,1.0,LA,EUGENE ISLAND,,,,,US
USC00161287,30.9594,-92.1786,24.4,LA,BUNKIE,,,,,US
USC00161411,32.5372,-92.3598,36.6,LA,CALHOUN 2 N,,,,,US
USC00161866,31.7236,-91.5408,22.3,LA,CLAYTON,,,,,US
USC00161899,30.8177,-90.9733,61.0,LA,CLINTON 5 SE,,,,,US
USC00161979,32.1673,-92.1077,25.0,LA,COLUMBIA LOCK,,,,,US
USC00162534,30.0719,-91.0278,9.1,LA,DONALDSONVILLE 4 SW,,,,,US
USC00164030,30.503,-90.3772,10.7,LA,HAMMOND 5 E,,,,,US
USC00164696,31.6782,-92.1288,43.6,LA,JENA,,,,,US
USC00164700,30.2002,-92.6641,7.6,LA,JENNINGS,,,,,US
USC00164739,31.4825,-91.8627,21.3,LA,JONESVILLE LOCKS,,,,,US
USC00165021,30.2191,-92.065,7.6,LA,LAFAYETTE,,,,,US
USC00165287,31.0516,-93.2788,79.2,LA,LEESVILLE 6 SSW,,,,,US
USC00165620,30.3644,-91.1672,6.4,LA,LSU BEN-HUR FARM,,,,,US
USC00165874,32.0712,-93.7588,98.1,LA,MANSFIELD 4 NW,,,,,US
USC00166244,32.6052,-93.2947,56.4,LA,MINDEN,,,,,US
USC00166314,32.4935,-92.0319,21.3,LA,MONROE DELTA CC,,,,,US
USC00166394,29.6833,-91.1761,1.5,LA,MORGAN CITY,,,,,US
USC00166582,31.7722,-93.0955,39.6,LA,NATCHITOCHES,,,,,US
USC00166584,31.8142,-93.0856,43.0,LA,NATCHITOCHES #2,,,,,US
USC00167691,32.4936,-91.7486,27.1,LA,RAYVILLE,,,,,US
USC00167738,32.4219,-93.638,47.2,LA,RED RIVER RESEARCH STATION,,,,,US
USC00168163,31.9497,-91.2336,23.8,LA,ST JOSEPH 3 N,,,,,US
USC00168444,32.3795,-93.8019,57.3,LA,SHREVEPORT SOUTHERN HILLS,,,,,US
USC00168539,30.25,-89.7667,3.0,LA,SLIDELL WSFO,,,,,US
USC00168785,32.7025,-92.0813,25.9,LA,STERLINGTON,,,,,US
USC00169013,29.7547,-90.7748,4.6,LA,THIBODAUX 4 SE,,,,,US
USC00169357,31.5652,-91.4332,18.3,LA,VIDALIA NO 2,,,,,US
USC00169803,31.9622,-92.6561,48.8,LA,WINNFIELD 3 N,,,,,US
USC00169806,32.0997,-91.7022,24.4,LA,WINNSBORO 5 SSE,,,,,US
USI0000K0R4,31.5668,-91.5001,16.5,LA,CONCORDIA PARISH,,,,K0R4,US
USI0000K1L0,30.087,-90.5826,2.1,LA,SAINT JOHN THE BAPTIST PARISH,,,,K1L0,US
USI0000K3F3,32.0735,-93.7655,98.8,LA,C E RUSTY WILLIAMS,,,,K3F3,US
USI0000K4C0,29.7833,-93.1833,1.0,LA,PHI OIL PLATFORM,,,,K4C0,US
USI0000K7R4,29.7667,-92.1167,5.0,LA,INTRACOASTAL CITY,,,,K7R4,US
USI0000K9F2,29.1,-90.2,2.0,LA,FOURCHON (SAWRS),,,,K9F2,US
USI0000KAPS,30.0875,-90.5828,2.0,LA,PORT OF SOUTH LOUISIANA EXECUT,,,,KAPS,US
USI0000KBCG,30.117,-91.55,10.0,LA,BUTTE LA ROSE,,,,KBCG,US
USI0000KCMB,29.4333,-92.9833,29.0,LA,E CAMERON 47JP,,,,KCMB,US
USI0000KCYD,28.17,-89.22,1.0,LA,MISSISSIPPI CANYON,,,,KCYD,US
