elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
50.6,1937-03-01,2025-08-25,32.5,"SHREVEPORT BARKSDALE AFB, LA US",1.0,WBAN:13944,METERS,-93.66667
26.9,1941-07-01,2025-08-27,31.3963,"ALEXANDRIA ESLER FIELD, LA US",1.0,WBAN:13935,METERS,-92.28278
20.4,1942-01-01,2025-08-27,30.53782,"BATON ROUGE METRO AIRPORT, LA US",1.0,WBAN:13970,METERS,-91.14681
2.0,1942-05-02,2025-08-27,30.12551,"LAKE CHARLES REGIONAL AIRPORT, LA US",1.0,WBAN:03937,METERS,-93.22771
22.1,1942-10-01,2025-08-27,32.51552,"MONROE REGIONAL AIRPORT, LA US",1.0,WBAN:13942,METERS,-92.02995
10.8,1945-10-01,2025-08-27,30.19859,"LAFAYETTE REGIONAL AIRPORT, LA US",1.0,WBAN:13976,METERS,-91.98957
-1.0,1945-10-01,2025-08-25,29.99755,"NEW ORLEANS AIRPORT, LA US",1.0,WBAN:12916,METERS,-90.27772
69.5,1948-07-01,2025-08-27,32.4473,"SHREVEPORT AIRPORT, LA US",1.0,WBAN:13957,METERS,-93.8244
1.5,1958-01-01,2025-08-25,29.81667,"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",1.0,WBAN:12958,METERS,-90.01667
100.6,1957-11-01,2025-08-25,31.05,"FORT POLK ARMY AIR FIELD, LA US",0.87,WBAN:03931,METERS,-93.18333
0.9,1942-09-01,2025-08-27,30.04934,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",0.81,WBAN:53917,METERS,-90.02899
