elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
15.2,2009-01-01,2025-08-24,29.976,"ABBEVILLE CHRIS CRUSTA MEMORIAL AIRPORT, LA US",1.0,WBAN:00184,METERS,-92.084
26.9,1941-07-01,2025-08-27,31.3963,"ALEXANDRIA ESLER FIELD, LA US",1.0,WBAN:13935,METERS,-92.28278
25.0,2001-10-01,2025-08-25,31.33464,"ALEXANDRIA INTERNATIONAL AIRPORT, LA US",1.0,WBAN:93915,METERS,-92.55849
50.9,2006-10-18,2025-08-25,32.75611,"BASTROP MOREHOUSE MEMORIAL AIRPORT, LA US",1.0,WBAN:53992,METERS,-91.88056
20.4,1942-01-01,2025-08-27,30.53782,"BATON ROUGE METRO AIRPORT, LA US",1.0,WBAN:13970,METERS,-91.14681
0.9,1965-02-01,2020-06-18,29.333,"BOOTHVILLE ASOS, LA US",0.79,WBAN:12884,METERS,-89.4075
0.9,2005-06-01,2005-09-12,29.78333,"CAMERON HELIPORT, LA US",0.08,WBAN:12989,METERS,-93.3
25.6,2014-07-31,2025-08-25,30.44105,"DE QUINCY INDUSTRIAL AIRPARK, LA US",1.0,WBAN:00423,METERS,-93.47361
62.2,2006-01-01,2025-08-25,30.83333,"DE RIDDER BEAUREGARD PARISH AIRPORT, LA US",1.0,WBAN:03976,METERS,-93.33333
12.2,2011-12-21,2025-08-25,30.7183,"FALSE RIVER REGIONAL AIRPORT, LA US",1.0,WBAN:00457,METERS,-91.4786
100.6,1957-11-01,2025-08-25,31.05,"FORT POLK ARMY AIR FIELD, LA US",0.87,WBAN:03931,METERS,-93.18333
94.5,2006-01-01,2025-08-27,31.0217,"FORT POLK FULLERTON LANDING STRIP, LA US",1.0,WBAN:53988,METERS,-92.9107
114.0,2005-03-03,2013-05-02,31.1136,"FORT POLK SELF STRIP, LA US",1.0,WBAN:63903,METERS,-92.9656
0.3,2006-01-19,2025-08-25,29.44472,"GALLIANO SOUTH LAFOURCHE AIRPORT, LA US",1.0,WBAN:12993,METERS,-90.26111
36.6,2012-08-24,2025-08-25,30.817,"GEORGE R CARR MEMORIAL AIR FIELD, LA US",1.0,WBAN:00148,METERS,-89.867
2.1,2005-01-03,2016-11-03,29.25,"GRAND ISLE SAWRS, LA US",0.05,WBAN:00432,METERS,-89.966
2.1,2005-06-01,2008-12-31,29.19194,"GRAND ISLE SEAPLANE BASE, LA US",0.03,WBAN:12990,METERS,-90.07528
13.4,2005-01-01,2025-08-25,30.52083,"HAMMOND MUNICIPAL AIRPORT, LA US",1.0,WBAN:03908,METERS,-90.4175
