parish,parish_full,ghcnh_station_id,ghcnh_station_name,station_latitude,station_longitude,station_elevation,distance_km
St. Charles,St. Charles Parish,USL000LABL1,BAYOU LABRANCH,30.05,-90.37,10.0,15.773938913977087
Jackson,Jackson Parish,USW00053958,RUSTON RGNL AP,32.5144,-92.5883,94.8,26.082902158667334
Bienville,Bienville Parish,USC00166244,MINDEN,32.6052,-93.2947,56.4,39.05384016606275
Assumption,Assumption Parish,USW00012988,LAKE PALOURD BASE HELIPORT,29.6931,-91.0986,1.5,21.162301398966967
St. Landry,St. Landry Parish,USW00000466,ST LANDRY PARISH AP AHART FLD,30.5583,-92.0994,23.2,13.134085027711132
Ouachita,Ouachita Parish,USC00166314,MONROE DELTA CC,32.4935,-92.0319,21.3,15.866139146101712
St. John the Baptist,St. John the Baptist Parish,USI0000K1L0,SAINT JOHN THE BAPTIST PARISH,30.087,-90.5826,2.1,5.565036475736616
St. Helena,St. Helena Parish,USC00161899,CLINTON 5 SE,30.8177,-90.9733,61.0,29.936700141220534
St. James,St. James Parish,USW00000460,LOUISIANA RGNL AP,30.1728,-90.9406,4.6,23.298524558532293
Vermilion,Vermilion Parish,USI0000K7R4,INTRACOASTAL CITY,29.7667,-92.1167,5.0,20.607959341371792
East Carroll,East Carroll Parish,USW00003996,TALLULAH VICKSBURG RGNL AP,32.3481,-91.03,25.3,61.093337681538515
East Feliciana,East Feliciana Parish,USC00161899,CLINTON 5 SE,30.8177,-90.9733,61.0,7.330830198942295
St. Bernard,St. Bernard Parish,USL000SHBL1,SHELL BEACH,29.8667,-89.6667,5.0,36.94582081172968
Red River,Red River Parish,USC00166584,NATCHITOCHES #2,31.8142,-93.0856,43.0,41.71165891518904
Bossier,Bossier Parish,USW00013944,SHREVEPORT BARKSDALE AFB,32.5,-93.6667,50.6,18.331171090503087
Webster,Webster Parish,USW00000268,MINDEN AP,32.6461,-93.2981,85.0,9.248470078380223
Iberville,Iberville Parish,USC00165620,LSU BEN-HUR FARM,30.3644,-91.1672,6.4,21.26028948369968
Avoyelles,Avoyelles Parish,USC00161287,BUNKIE,30.9594,-92.1786,24.4,29.177351434245235
Cameron,Cameron Parish,USW00012989,CAMERON HELIPORT,29.7833,-93.3,0.9,3.3672603620059687
West Feliciana,West Feliciana Parish,USW00000457,FALSE RIVER RGNL AP,30.7183,-91.4786,12.2,17.802484876998495
Plaquemines,Plaquemines Parish,USW00012884,BOOTHVILLE ASOS,29.3331,-89.4075,0.9,16.077416398063036
Acadia,Acadia Parish,USW00000381,JENNINGS AP,30.2431,-92.673,7.0,30.32046812781357
