parish,parish_full,lcd_station_id,lcd_station_name,station_latitude,station_longitude,datacoverage,distance_km
St. Charles,St. Charles Parish,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,1.0,16.360095728422504
Jackson,Jackson Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,62.65588974948541
Bienville,Bienville Parish,WBAN:13944,"SHREVEPORT BARKSDALE AFB, LA US",32.5,-93.66667,1.0,66.80664840959263
Assumption,Assumption Parish,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,1.0,88.43902050616236
St. Landry,St. Landry Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,48.5050548599766
Ouachita,Ouachita Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,16.406541037897185
St. John the Baptist,St. John the Baptist Parish,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,1.0,30.810629043532415
St. Helena,St. Helena Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,61.653156030171246
St. James,St. James Parish,WBAN:12916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,1.0,60.031128856914954
Vermilion,Vermilion Parish,WBAN:13976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,1.0,60.339957605904765
East Carroll,East Carroll Parish,WBAN:13942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,1.0,93.02085515038628
East Feliciana,East Feliciana Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,39.029866930763234
St. Bernard,St. Bernard Parish,WBAN:12958,"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",29.81667,-90.01667,1.0,76.42953967129519
Red River,Red River Parish,WBAN:13944,"SHREVEPORT BARKSDALE AFB, LA US",32.5,-93.66667,1.0,69.35953602569924
Bossier,Bossier Parish,WBAN:13944,"SHREVEPORT BARKSDALE AFB, LA US",32.5,-93.66667,1.0,18.329790327779076
Webster,Webster Parish,WBAN:13944,"SHREVEPORT BARKSDALE AFB, LA US",32.5,-93.66667,1.0,48.23622378583239
Iberville,Iberville Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,40.38518438606401
Avoyelles,Avoyelles Parish,WBAN:13935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,1.0,52.33535188992005
Cameron,Cameron Parish,WBAN:03937,"LAKE CHARLES REGIONAL AIRPORT, LA US",30.12551,-93.22771,1.0,43.35697276040331
West Feliciana,West Feliciana Parish,WBAN:13970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,1.0,45.54498808841878
Plaquemines,Plaquemines Parish,WBAN:12958,"NEW ORLEANS ALVIN CALLENDER FIELD, LA US",29.81667,-90.01667,1.0,76.96441789462077
