parish,parish_full,station_id,station_name,station_latitude,station_longitude,datacoverage,distance_km
St. Charles,St. Charles Parish,GHCND:USW00012916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,0.972,16.360095728422504
Jackson,Jackson Parish,GHCND:USC00160800,"BIENVILLE 3 NE, LA US",32.3744,-92.9433,0.9946,45.11583826274642
Bienville,Bienville Parish,GHCND:USC00160800,"BIENVILLE 3 NE, LA US",32.3744,-92.9433,0.9946,16.128920672070866
Assumption,Assumption Parish,GHCND:USC00162534,"DONALDSONVILLE 4 SW, LA US",30.0719,-91.0278,0.981,28.203945414411876
St. Landry,St. Landry Parish,GHCND:USW00013976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,0.9969,48.5050548599766
Ouachita,Ouachita Parish,GHCND:USW00013942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,0.9054,16.406541037897185
St. John the Baptist,St. John the Baptist Parish,GHCND:USW00012916,"NEW ORLEANS AIRPORT, LA US",29.99755,-90.27772,0.972,30.810629043532415
St. Helena,St. Helena Parish,GHCND:USC00167304,"PINE GROVE FIRE TOWER, LA US",30.7112,-90.7526,0.9593,15.621046847578857
St. James,St. James Parish,GHCND:USC00162534,"DONALDSONVILLE 4 SW, LA US",30.0719,-91.0278,0.981,24.274745106598523
Vermilion,Vermilion Parish,GHCND:USC00162212,"CROWLEY 2 NE, LA US",30.24099,-92.34759,0.8302,55.64089216122728
East Carroll,East Carroll Parish,GHCND:USC00166866,"OAK GROVE, LA US",32.8641,-91.38,0.9246,18.86010433893479
East Feliciana,East Feliciana Parish,GHCND:USC00167304,"PINE GROVE FIRE TOWER, LA US",30.7112,-90.7526,0.9593,35.07177691060491
St. Bernard,St. Bernard Parish,GHCND:USC00168539,"SLIDELL, LA US",30.265,-89.7697,0.9932,65.72317445843836
Red River,Red River Parish,GHCND:USC00160800,"BIENVILLE 3 NE, LA US",32.3744,-92.9433,0.9946,58.66417021290025
Bossier,Bossier Parish,GHCND:USC00167738,"RED RIVER RESEARCH STATION, LA US",32.4219,-93.638,0.9936,27.348268467601052
Webster,Webster Parish,GHCND:USC00167344,"PLAIN DEALING, LA US",32.8921,-93.645,0.9195,43.53687891824606
Iberville,Iberville Parish,GHCND:USC00167366,"PLAQUEMINE 2 N, LA US",30.3214,-91.2517,0.9939,10.573518375634213
Avoyelles,Avoyelles Parish,GHCND:USC00165920,"MARKSVILLE, LA US",31.12848,-92.06449,0.8415,11.29491744245334
Cameron,Cameron Parish,GHCND:USC00168831,"SULPHUR, LA US",30.2383,-93.3447,0.9546,58.20008928484542
West Feliciana,West Feliciana Parish,GHCND:USC00166686,"NEW ROADS 5 NE, LA US",30.7268,-91.3672,0.8892,13.029227747961048
Plaquemines,Plaquemines Parish,GHCND:USW00012930,"NEW ORLEANS AUDUBON, LA US",29.9166,-90.1302,0.9547,94.96906443616038
Acadia,Acadia Parish,GHCND:USC00162212,"CROWLEY 2 NE, LA US",30.24099,-92.34759,0.8302,6.7940851481463485
Evangeline,Evangeline Parish,GHCND:USC00160617,"BEAVER FIRE TOWER, LA US",30.7904,-92.49707,0.8552,13.964808259694543
Caldwell,Caldwell Parish,GHCND:USC00161979,"COLUMBIA LOCK, LA US",32.1673,-92.10769,0.9949,8.69370364835278
East Baton Rouge,East Baton Rouge Parish,GHCND:USW00013970,"BATON ROUGE METRO AIRPORT, LA US",30.53782,-91.14681,0.9992,6.969761893995884
Natchitoches,Natchitoches Parish,GHCND:USC00161232,"BOYCE 3 WNW, LA US",31.39511,-92.71665,0.9933,71.22574600692468
Terrebonne,Terrebonne Parish,GHCND:USC00162534,"DONALDSONVILLE 4 SW, LA US",30.0719,-91.0278,0.981,91.61489096617392
Jefferson,Jefferson Parish,GHCND:USW00012930,"NEW ORLEANS AUDUBON, LA US",29.9166,-90.1302,0.9547,35.618322265621075
St. Tammany,St. Tammany Parish,GHCND:USC00160021,"ABITA SPRINGS FIRE TOWER, LA US",30.4372,-90.0519,0.9868,10.134469016679523
Tensas,Tensas Parish,GHCND:USC00168163,"ST. JOSEPH 3 N, LA US",31.9497,-91.2336,0.8376,9.166680669077287
Orleans,Orleans Parish,GHCND:USW00012930,"NEW ORLEANS AUDUBON, LA US",29.9166,-90.1302,0.9547,22.862454102259893
Iberia,Iberia Parish,GHCND:USC00164674,"JEANERETTE 5 NW, LA US",29.95938,-91.71118,0.8622,36.09194389267853
Tangipahoa,Tangipahoa Parish,GHCND:USC00162151,"COVINGTON 8 WNW, LA US",30.52681,-90.21471,0.8723,24.508878225587097
Lincoln,Lincoln Parish,GHCND:USC00160800,"BIENVILLE 3 NE, LA US",32.3744,-92.9433,0.9946,45.45399318145929
Catahoula,Catahoula Parish,GHCND:USC00164739,"JONESVILLE LOCKS, LA US",31.4825,-91.8627,0.9326,16.117527052329894
